profile_id,total_trades,winning_trades,losing_trades,total_pnl,max_drawdown,max_drawdown_pct,sharpe_ratio,profit_factor,win_rate,avg_win,avg_loss,avg_rr,max_consecutive_losses,total_days,trades_per_day,starting_equity,ending_equity,window,window_range,tournament_score
omni_breakout|equity_curve|hybrid_retest_volume_spread|no_pyramid|time_based|day_of_week|US100.cash,21,12,9,2110.9867399999994,534.4000000000087,0.005325616132347147,5.280691772158372,2.478706910526935,0.5714285714285714,294.88136916666633,158.62107666666626,1.8590301828952014,3,350,0.06,100000.0,102110.98674000001,1y,2025-09-09_to_2026-09-09,2.5308273004447224
omni_breakout|fixed_low|volume_spike_gate|risk_free_runner|atr_dynamic_trail|day_of_week|US100.cash,409,188,221,296486.0378653591,8802.283831072156,0.024012287309242403,4.798786668389906,2.579308971896176,0.45965770171149145,2575.6251866185617,849.4637883209526,3.0320600148353987,11,980,0.4173469387755102,100000.0,396486.03786535934,2.5y,2024-01-01_to_2026-09-09,2.415483340039037
omni_breakout|fixed_low|volume_spike_gate|no_pyramid|atr_dynamic_trail|day_of_week|US100.cash,409,188,221,296486.0378653591,8802.283831072156,0.024012287309242403,4.798786668389906,2.579308971896176,0.45965770171149145,2575.6251866185617,849.4637883209526,3.0320600148353987,11,980,0.4173469387755102,100000.0,396486.03786535934,2.5y,2024-01-01_to_2026-09-09,2.415483340039037
omni_breakout|fixed_low|volume_spike_gate|momentum_confirmed|atr_dynamic_trail|day_of_week|US100.cash,409,188,221,296486.0378653591,8802.283831072156,0.024012287309242403,4.798786668389906,2.579308971896176,0.45965770171149145,2575.6251866185617,849.4637883209526,3.0320600148353987,11,980,0.4173469387755102,100000.0,396486.03786535934,2.5y,2024-01-01_to_2026-09-09,2.415483340039037
omni_breakout|fixed_low|volume_spike_gate|inverse_pyramid|atr_dynamic_trail|day_of_week|US100.cash,409,188,221,296486.0378653591,8802.283831072156,0.024012287309242403,4.798786668389906,2.579308971896176,0.45965770171149145,2575.6251866185617,849.4637883209526,3.0320600148353987,11,980,0.4173469387755102,100000.0,396486.03786535934,2.5y,2024-01-01_to_2026-09-09,2.415483340039037
omni_breakout|fixed_low|volume_spike_gate|front_loaded|atr_dynamic_trail|day_of_week|US100.cash,409,188,221,296486.0378653591,8802.283831072156,0.024012287309242403,4.798786668389906,2.579308971896176,0.45965770171149145,2575.6251866185617,849.4637883209526,3.0320600148353987,11,980,0.4173469387755102,100000.0,396486.03786535934,2.5y,2024-01-01_to_2026-09-09,2.415483340039037
omni_breakout|fixed_low|volume_spike_gate|equal_split|atr_dynamic_trail|day_of_week|US100.cash,409,188,221,296486.0378653591,8802.283831072156,0.024012287309242403,4.798786668389906,2.579308971896176,0.45965770171149145,2575.6251866185617,849.4637883209526,3.0320600148353987,11,980,0.4173469387755102,100000.0,396486.03786535934,2.5y,2024-01-01_to_2026-09-09,2.415483340039037
omni_breakout|fixed_low|volume_spike_gate|adaptive_tranche|atr_dynamic_trail|day_of_week|US100.cash,409,188,221,296486.0378653591,8802.283831072156,0.024012287309242403,4.798786668389906,2.579308971896176,0.45965770171149145,2575.6251866185617,849.4637883209526,3.0320600148353987,11,980,0.4173469387755102,100000.0,396486.03786535934,2.5y,2024-01-01_to_2026-09-09,2.415483340039037
omni_breakout|fixed_low|stop_order_at_range|risk_free_runner|atr_dynamic_trail|day_of_week|US100.cash,409,188,221,296486.0378653591,8802.283831072156,0.024012287309242403,4.798786668389906,2.579308971896176,0.45965770171149145,2575.6251866185617,849.4637883209526,3.0320600148353987,11,980,0.4173469387755102,100000.0,396486.03786535934,2.5y,2024-01-01_to_2026-09-09,2.415483340039037
omni_breakout|fixed_low|stop_order_at_range|no_pyramid|atr_dynamic_trail|day_of_week|US100.cash,409,188,221,296486.0378653591,8802.283831072156,0.024012287309242403,4.798786668389906,2.579308971896176,0.45965770171149145,2575.6251866185617,849.4637883209526,3.0320600148353987,11,980,0.4173469387755102,100000.0,396486.03786535934,2.5y,2024-01-01_to_2026-09-09,2.415483340039037
omni_breakout|fixed_low|stop_order_at_range|momentum_confirmed|atr_dynamic_trail|day_of_week|US100.cash,409,188,221,296486.0378653591,8802.283831072156,0.024012287309242403,4.798786668389906,2.579308971896176,0.45965770171149145,2575.6251866185617,849.4637883209526,3.0320600148353987,11,980,0.4173469387755102,100000.0,396486.03786535934,2.5y,2024-01-01_to_2026-09-09,2.415483340039037
omni_breakout|fixed_low|stop_order_at_range|inverse_pyramid|atr_dynamic_trail|day_of_week|US100.cash,409,188,221,296486.0378653591,8802.283831072156,0.024012287309242403,4.798786668389906,2.579308971896176,0.45965770171149145,2575.6251866185617,849.4637883209526,3.0320600148353987,11,980,0.4173469387755102,100000.0,396486.03786535934,2.5y,2024-01-01_to_2026-09-09,2.415483340039037
omni_breakout|fixed_low|stop_order_at_range|front_loaded|atr_dynamic_trail|day_of_week|US100.cash,409,188,221,296486.0378653591,8802.283831072156,0.024012287309242403,4.798786668389906,2.579308971896176,0.45965770171149145,2575.6251866185617,849.4637883209526,3.0320600148353987,11,980,0.4173469387755102,100000.0,396486.03786535934,2.5y,2024-01-01_to_2026-09-09,2.415483340039037
omni_breakout|fixed_low|stop_order_at_range|equal_split|atr_dynamic_trail|day_of_week|US100.cash,409,188,221,296486.0378653591,8802.283831072156,0.024012287309242403,4.798786668389906,2.579308971896176,0.45965770171149145,2575.6251866185617,849.4637883209526,3.0320600148353987,11,980,0.4173469387755102,100000.0,396486.03786535934,2.5y,2024-01-01_to_2026-09-09,2.415483340039037
